  4,AF,AFG,AFN,93
  8,AL,ALB,ALL,355
 12,DZ,DZA,DZD,213
 16,AS,ASM,USD,1684
 20,AD,AND,EUR,376
 24,AO,AGO,AOA,244
660,AI,AIA,XCD,1264
 28,AG,ATG,XCD,1268
 32,AR,ARG,ARS,54
 51,AM,ARM,AMD,374
533,AW,ABW,AWG,297
 36,AU,AUS,AUD,61
 40,AT,AUT,EUR,43
 31,AZ,AZE,AZN,994
 44,BS,BHS,BSD,1242
 48,BH,BHR,BHD,973
 50,BD,BGD,BDT,880
 52,BB,BRB,BBD,1246
112,BY,BLR,BYR,375
 56,BE,BEL,EUR,32
 84,BZ,BLZ,BZD,501
204,BJ,BEN,XOF,229
 60,BM,BMU,BMD,1441
 64,BT,BTN,INR,975
 68,BO,BOL,BOB,591
 70,BA,BIH,BAM,387
 72,BW,BWA,BWP,267
 74,BV,BVT,NOK,47
 76,BR,BRA,BRL,55
 86,IO,IOT,GBP,246
 92,VG,VGB,USD,1284
 96,BN,BRN,BND,673
100,BG,BGR,BGN,359
854,BF,BFA,XOF,226
108,BI,BDI,BIF,257
116,KH,KHM,KHR,855
120,CM,CMR,XAF,237
124,CA,CAN,CAD,1
132,CV,CPV,CVE,238
535,BQ,BES,USD,599
136,KY,CYM,KYD,1345
140,CF,CAF,XAF,236
148,TD,TCD,XAF,235
152,CL,CHL,CLP,56
156,CN,CHN,CNY,86
162,CX,CXR,AUD,61
166,CC,CCK,AUD,61
170,CO,COL,COP,57
174,KM,COM,KMF,269
178,CG,COG,XAF,242
180,CD,COD,Yes,243
184,CK,COK,NZD,682
188,CR,CRI,CRC,506
191,HR,HRV,HRK,385
192,CU,CUB,CUP,53
531,CW,CUW,ANG,599
196,CY,CYP,EUR,357
203,CZ,CZE,Yes,420
384,CI,CIV,XOF,225
208,DK,DNK,DKK,45
262,DJ,DJI,DJF,253
212,DM,DMA,XCD,1767
214,DO,DOM,DOP,1809
218,EC,ECU,USD,593
818,EG,EGY,EGP,20
222,SV,SLV,USD,503
226,GQ,GNQ,XAF,240
232,ER,ERI,ERN,291
233,EE,EST,EUR,372
231,ET,ETH,ETB,251
238,FK,FLK,FKP,500
234,FO,FRO,DKK,298
242,FJ,FJI,FJD,679
246,FI,FIN,EUR,358
250,FR,FRA,EUR,33
254,GF,GUF,EUR,594
258,PF,PYF,XPF,689
260,TF,ATF,EUR,262
266,GA,GAB,XAF,241
270,GM,GMB,GMD,220
268,GE,GEO,GEL,995
276,DE,DEU,EUR,49
288,GH,GHA,GHS,233
292,GI,GIB,GIP,350
300,GR,GRC,EUR,30
304,GL,GRL,DKK,299
308,GD,GRD,XCD,1473
312,GP,GLP,EUR,590
316,GU,GUM,USD,1671
320,GT,GTM,GTQ,502
831,GG,GGY,GBP,44
324,GN,GIN,GNF,224
624,GW,GNB,XOF,245
